run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,1,1,1775431631.935843,110.665912,48.857042,57.268993,3.780643,0.8323525786399841,0.0,0.5,19387.65625,forward
1,PNA,1,2,1775431632.1090598,110.367226,47.544249,57.14728,3.615871,0.8053145408630371,,,,
1,PNA,1,3,1775431632.281128,110.991566,47.55308,57.405335,3.657112,0.8419618606567383,,,,
1,PNA,1,4,1775431632.4558651,111.844011,48.661138,57.143501,3.667692,0.7746144533157349,21.0,0.4,19387.59765625,forward
1,PNA,1,5,1775431632.6307888,111.76533,48.114009,57.499778,3.645061,0.7869100570678711,,,,
1,PNA,1,6,1775431632.8055708,111.525716,47.730713,57.66145,3.660492,0.7737736701965332,,,,
1,PNA,1,7,1775431632.9810777,112.92394,49.452562,57.609918,3.633941,0.7709219455718994,24.0,0.5,19387.84375,forward
1,PNA,1,8,1775431633.1584847,114.240691,48.033178,59.807095,3.888406,0.7674997448921204,,,,
1,PNA,1,9,1775431633.3331556,111.719809,48.022938,57.473686,3.681142,0.8237156271934509,,,,
1,PNA,1,10,1775431633.5056791,111.781059,48.7318,57.11265,3.642331,0.8445610404014587,20.0,0.4,19387.84375,forward
1,PNA,1,11,1775431633.6790345,110.783393,47.527349,57.289004,3.646842,0.7809138894081116,,,,
1,PNA,1,12,1775431633.855057,111.425234,48.058489,57.523197,3.613862,0.7949115037918091,,,,
1,PNA,1,13,1775431634.032377,112.450131,49.050735,57.429645,3.658262,0.79030442237854,24.0,0.4,19388.1484375,forward
1,PNA,1,14,1775431634.2087393,112.367109,47.665462,58.432422,3.682672,0.7430612444877625,,,,
1,PNA,1,15,1775431634.383587,111.348473,47.648261,57.476796,3.654451,0.7899969816207886,,,,
1,PNA,1,16,1775431634.5596602,112.38775,49.202778,57.211892,3.655572,0.7917251586914062,24.0,0.4,19388.58203125,forward
1,PNA,1,17,1775431634.7359517,111.599027,48.146919,57.511117,3.683882,0.8486083745956421,,,,
1,PNA,1,18,1775431634.9126747,111.889111,48.066498,57.769732,3.705382,0.8415841460227966,,,,
1,PNA,1,19,1775431635.0894523,112.631624,48.987294,57.311664,3.859585,0.8516717553138733,20.0,0.4,19388.265625,forward
1,PNA,1,20,1775431635.2657008,111.594708,47.928516,57.623259,3.641211,0.8020122647285461,,,,
1,PNA,1,21,1775431635.44081,111.418935,47.977387,57.513127,3.661292,0.8070133328437805,,,,
1,PNA,1,22,1775431635.6170745,112.519412,49.068495,57.537217,3.654661,0.7882077693939209,24.0,0.5,19389.83203125,forward
1,PNA,1,23,1775431635.7929707,111.289422,48.079748,57.14153,3.738852,0.7378276586532593,,,,
1,PNA,1,24,1775431635.968571,111.20077,47.804074,57.07056,3.788353,0.8091325163841248,,,,
1,PNA,1,25,1775431636.144634,112.453001,48.765051,57.638829,3.454277,0.833509624004364,24.0,0.4,19390.0078125,forward
1,PNA,1,26,1775431636.32147,112.41368,48.000946,58.286871,3.782614,0.8391088247299194,,,,
1,PNA,1,27,1775431636.4964778,111.503426,47.832984,57.612999,3.695022,0.7403523325920105,,,,
1,PNA,1,28,1775431636.6733367,113.329226,49.760817,57.587358,3.642142,0.7272018790245056,20.0,0.4,19389.83203125,forward
1,PNA,1,29,1775431636.8484826,110.841134,47.629071,57.233492,3.678562,0.8027063608169556,,,,
