task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_step_1,2026-04-07T15:26:03,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10600853897631168,4.558453511332576e-08,4.2482563269250286e-07,360.0,33.439923088795524,10.0,1.0330802761018268e-05,9.597229961855192e-07,2.869252995070493e-07,1.157745105671089e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_8,2026-04-07T15:26:04,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09834754839539528,4.480159963197674e-08,4.5556382420045356e-07,360.0,45.84083460275267,10.0,9.850573167204937e-06,1.2544454435214902e-06,2.7358436750040923e-07,1.137860297822685e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_15,2026-04-07T15:26:06,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09890718944370747,4.550870787988783e-08,4.5957358003338765e-07,360.0,49.566059438033776,10.0,9.917202033102616e-06,1.3655566561965315e-06,2.754339482635262e-07,1.155819263756264e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_22,2026-04-07T15:26:07,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.1021603625267744,4.6600676521936644e-08,4.5681383695574287e-07,360.0,47.05851125997811,10.0,1.0216229036450353e-05,1.335556625292611e-06,2.8374255634844493e-07,1.1835528218091416e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_28,2026-04-07T15:26:08,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10737046413123608,4.8218339341333473e-08,4.488968555435777e-07,360.0,39.891709908974114,10.0,1.0755704902112471e-05,1.1919454010467234e-06,2.987280436274087e-07,1.2246378346786671e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_step_35,2026-04-07T15:26:09,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09997461549937725,4.698704400995745e-08,4.7014521453968526e-07,360.0,59.255852614924116,10.0,1.0008192621171553e-05,1.647501321144773e-06,2.7796296506292517e-07,1.1933656907379183e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_41,2026-04-07T15:26:10,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10088666714727879,4.54393476479922e-08,4.4525819902105193e-07,360.0,36.36280394716592,10.0,1.0223844274878484e-05,1.0327786057473531e-06,2.839538113524542e-07,1.154057669197823e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_48,2026-04-07T15:26:11,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10423278249800205,4.836027693001649e-08,4.6321516088242427e-07,360.0,52.82945260972573,10.0,1.0457266867160706e-05,1.5347234523233055e-06,2.904369961470379e-07,1.2282427315630975e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_55,2026-04-07T15:26:12,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.09864327311515808,4.4935982121538707e-08,4.558163628080608e-07,360.0,46.13049868678537,10.0,9.873239509761286e-06,1.2652787901856755e-06,2.7421482114328e-07,1.1412733121090235e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e2_step_62,2026-04-07T15:26:13,PNA,2e6e7fb6-e1b9-45e3-a672-229d0ae05ed4,0.10180198401212692,4.7207617590848834e-08,4.6302962037548106e-07,360.0,47.389213077689554,10.0,1.0341078229248466e-05,1.3613899767506155e-06,2.8720945119857847e-07,1.1989677657197727e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
