epoch,step_idx,step_ms,forward_ms,backward_ms,optimizer_ms,energy_consumed,cpu_energy,gpu_energy,ram_energy,emissions
1,1,102.046197,51.852813,42.75453,3.824825,,,,,
1,2,97.086194,49.249609,41.61738,3.584391,,,,,
1,3,97.404729,49.273479,41.902785,3.579791,,,,,
1,4,97.143805,49.33196,41.504098,3.60173,,,,,
1,5,97.38696,49.080226,41.950616,3.596871,7.553598096310957e-05,5.143224988132715e-05,2.2675295923590966e-05,1.4284351581914557e-06,2.974119743340605e-07
1,6,101.416387,54.477027,38.919195,3.717402,,,,,
1,7,108.093309,59.223737,41.814494,3.602021,,,,,
1,8,101.311595,54.494487,39.865981,3.729183,,,,,
1,9,107.768684,59.247957,41.543479,3.57494,,,,,
1,10,100.163525,54.120241,39.071028,3.728503,7.52191231220397e-05,5.437360107898713e-05,1.9335293231392825e-05,1.5102288116597467e-06,2.9616439252080723e-07
1,11,105.996594,55.706937,41.682172,3.625491,,,,,
1,12,102.833901,54.529078,38.958256,5.663745,,,,,
1,13,106.707356,57.946136,39.202369,5.619475,,,,,
1,14,109.757547,61.099758,39.245141,5.616405,,,,,
1,15,109.609905,61.237322,38.911645,5.655485,8.21466437262542e-05,5.6689012050628655e-05,2.388307467526829e-05,1.5745570003572438e-06,3.234405005936679e-07
1,16,109.416542,58.426813,40.255208,3.5594,,,,,
1,17,93.763348,48.644359,38.806323,3.585591,,,,,
1,18,94.550001,49.333321,38.61358,3.56833,,,,,
1,19,94.350388,49.249448,38.810384,3.55035,,,,,
1,20,93.842419,49.402662,38.534338,3.526109,7.283441970771742e-05,5.0433033891022214e-05,2.100057234599717e-05,1.4008134706980654e-06,2.867749685454816e-07
2,21,110.131954,60.495408,41.00481,5.013675,,,,,
2,22,107.030541,58.276431,41.882835,3.55893,,,,,
2,23,101.328215,55.482924,38.996956,3.728842,,,,,
2,24,109.674645,61.100508,41.689352,3.57607,,,,,
2,25,101.065541,55.505365,38.63845,3.718533,7.958344806197602e-05,5.540457442402842e-05,2.2640018102038084e-05,1.5388555359095338e-06,3.1334828926076965e-07
2,26,109.976941,59.620433,41.827134,3.60029,,,,,
2,27,100.514092,54.927764,38.689361,3.703902,,,,,
2,28,109.657345,61.005237,41.664981,3.605021,,,,,
2,29,99.965942,54.169232,38.889064,3.708123,,,,,
2,30,110.683993,61.696939,42.020487,3.60018,7.707124536113701e-05,5.5382649227976805e-05,2.0150293906340266e-05,1.5383022268199258e-06,3.0345685532878983e-07
2,31,101.698641,54.588139,38.761372,3.698252,,,,,
2,32,109.460862,63.065441,39.153079,3.729973,,,,,
2,33,109.720646,60.67242,42.114858,3.605752,,,,,
2,34,100.768716,55.043177,38.808813,3.716033,,,,,
2,35,114.767792,60.944386,46.713626,3.879586,8.190538441288782e-05,5.6278341263532616e-05,2.406390814257975e-05,1.5631350067754583e-06,3.224905770234714e-07
2,36,106.087266,57.633941,39.788669,3.57,,,,,
2,37,95.66106,50.300857,39.078238,3.54636,,,,,
2,38,95.607449,50.260465,39.011257,3.562431,,,,,
2,39,95.451866,50.165064,38.954425,3.57811,,,,,
