task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
e1_fwd_1,2026-04-07T15:24:25,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.04939681105315685,2.4298422412934828e-08,4.948039674312105e-07,360.0,83.9042286349902,10.0,4.894295521080559e-06,1.1411120155457866e-06,1.3584759500291676e-07,6.171255131629276e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_1,2026-04-07T15:24:25,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.038921477273106575,1.5462418357507134e-08,4.0297582978413e-07,360.0,0.0,10.0,3.821054287254802e-06,0.0,1.0605369591050619e-07,3.927107983165302e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_1,2026-04-07T15:24:25,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.0047936346381902695,1.8127389938364297e-09,3.8666608798495876e-07,360.0,0.0,10.0,4.480021074415065e-07,0.0,1.239300084610555e-08,4.603951082875375e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_11,2026-04-07T15:24:26,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.049521034583449364,2.1251254243446273e-08,4.317766652344807e-07,360.0,0.0,10.0,5.251561291515824e-06,0.0,1.4578136615455122e-07,5.397342657670334e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_11,2026-04-07T15:24:26,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.03855434991419315,1.9651207059341148e-08,5.142618196931732e-07,360.0,102.40916379692923,10.0,3.803179971873698e-06,1.0822230862572724e-06,1.055634477072263e-07,4.990966505838109e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_11,2026-04-07T15:24:26,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.004604414105415344,1.8276040457290864e-09,4.032407005453454e-07,360.0,0.0,10.0,4.5167505741128267e-07,0.0,1.2495441155304515e-08,4.641704985665872e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_21,2026-04-07T15:24:27,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.0489501953125,1.9610658435158207e-08,4.029968898665168e-07,360.0,0.0,10.0,4.846148006618003e-06,0.0,1.3452005676097023e-07,4.980668063379054e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_bwd_21,2026-04-07T15:24:27,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.038662081584334373,2.0613973880082515e-08,5.371740761944555e-07,360.0,123.6425605093995,10.0,3.817852213978783e-06,1.3116677166635782e-06,1.0596778657701256e-07,5.235487717219394e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_opt_21,2026-04-07T15:24:27,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.00457928329706192,1.8245232800577276e-09,4.0332343512348344e-07,360.0,0.0,10.0,4.5091435313220074e-07,0.0,1.2473699947200393e-08,4.63388053079496e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
e1_fwd_29,2026-04-07T15:24:28,PNA,83ff2d49-f6ab-41da-b28a-53e28a54a28e,0.048933668062090874,1.9585098954621098e-08,4.0368114773964e-07,360.0,0.0,10.0,4.839832894503989e-06,0.0,1.3434363322125254e-07,4.974176527725201e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.12.12,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
