step_idx,generation,collected,uncollectable,duration_ms
1,2,0,0,143.158069
3,2,0,0,137.067675
5,2,0,0,157.496258
7,2,0,0,135.101211
9,2,0,0,137.99077
11,2,0,0,137.903059
13,2,0,0,159.259988
15,2,0,0,164.317451
17,2,0,0,136.832852
19,2,0,0,137.232457
21,2,0,0,161.588924
23,2,0,0,133.907081
25,2,0,0,139.190521
27,2,0,0,138.913726
29,2,3,0,157.189439
31,2,0,0,165.706134
33,2,0,0,141.913568
36,2,0,0,134.271877
37,2,0,0,138.327856
39,2,0,0,140.32652
42,2,0,0,156.63427
43,2,0,0,139.575237
45,2,0,0,139.973144
48,2,0,0,133.598856
49,2,0,0,159.898285
51,2,0,0,140.020425
54,2,0,0,161.202617
55,2,0,0,139.249412
57,2,0,0,141.101134
60,2,0,0,133.961652
61,2,0,0,138.440838
63,2,0,0,138.915396
66,2,0,0,155.375938
67,2,0,0,137.97178
69,2,0,0,140.768628
72,2,0,0,133.453563
73,2,0,0,139.549077
75,2,0,0,141.525611
78,2,0,0,154.92051
79,2,0,0,137.769637
81,2,0,0,139.788231
84,2,0,0,160.858972
85,2,0,0,139.838132
87,2,0,0,140.758989
