step_idx,generation,collected,uncollectable,duration_ms
2,2,0,0,131.750892
22,2,0,0,176.342991
37,2,0,0,133.793516
57,2,0,0,154.580014
76,2,0,0,130.181396
93,2,0,0,159.915502
111,2,0,0,149.905558
130,2,0,0,154.646015
148,2,0,0,132.468264
168,2,0,0,130.773496
185,2,0,0,132.26622
204,2,0,0,160.272877
221,2,0,0,153.198602
240,2,0,0,132.141888
258,2,0,0,153.174092
276,2,0,0,130.747805
297,2,0,0,131.714252
316,2,3,0,132.748387
340,2,3,0,185.584361
358,2,3,0,132.581565
378,2,0,0,134.186041
