run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,fwd_gpu_util,fwd_cpu_util,fwd_ram_used_mb,bwd_gpu_util,bwd_cpu_util,bwd_ram_used_mb
1,PNA,1,1,1775529036.430689,93.903087,48.171225,39.070397,2.821029,0.8189477324485779,0.0,83.1,21385.21875,0.0,100.5,21385.16015625
1,PNA,1,2,1775529036.6483986,92.982831,47.694336,39.039927,4.02316,0.8085139393806458,,,,,,
1,PNA,1,3,1775529036.872671,98.70806,52.468009,38.849424,2.89216,0.7804800271987915,33.0,52.4,21391.5,33.0,100.0,21391.5
1,PNA,1,4,1775529037.0904036,92.519934,47.972541,39.141718,3.223606,0.7694133520126343,,,,,,
1,PNA,1,5,1775529037.3092105,93.327678,47.819109,38.927995,2.799888,0.8343381881713867,33.0,52.9,21388.29296875,25.0,100.9,21388.29296875
1,PNA,1,6,1775529037.5272443,92.748757,48.50001,38.975316,3.214095,0.7880783677101135,,,,,,
1,PNA,1,7,1775529037.7468238,92.988272,47.739648,38.514327,2.847099,0.7668973207473755,27.0,50.2,21389.21484375,27.0,101.9,21389.15625
1,PNA,1,8,1775529037.9647112,91.716039,47.884529,38.747002,3.015022,0.7911020517349243,,,,,,
1,PNA,1,9,1775529038.1835177,93.797565,47.89603,39.014835,2.981122,0.845445990562439,29.0,52.9,21390.640625,29.0,100.5,21390.40625
1,PNA,1,10,1775529038.4050198,93.785905,49.399316,39.071998,3.204055,0.827125072479248,,,,,,
1,PNA,1,11,1775529038.6222084,93.395448,47.887229,38.767922,2.825349,0.7978184819221497,33.0,52.6,21387.24609375,33.0,101.2,21387.24609375
1,PNA,1,12,1775529038.8444507,96.844997,47.569753,43.989943,3.333038,0.7736911773681641,,,,,,
1,PNA,1,13,1775529039.0632339,93.519231,47.88899,39.074087,2.85737,0.8365651965141296,33.0,49.8,21388.36328125,33.0,100.4,21388.24609375
1,PNA,1,14,1775529039.280584,92.225658,47.965721,39.183039,3.011512,0.7340365648269653,,,,,,
1,PNA,1,15,1775529039.499931,94.714972,47.952611,38.874034,2.968982,0.8142277002334595,33.0,53.1,21385.37109375,29.0,98.0,21400.078125
1,PNA,1,16,1775529039.7175655,93.374198,47.760648,40.550972,2.963392,0.8098232746124268,,,,,,
1,PNA,1,17,1775529039.9400265,99.597335,47.560984,38.960205,3.041533,0.7801930904388428,26.0,52.5,21391.31640625,26.0,100.7,21386.640625
1,PNA,1,18,1775529040.1543677,91.633689,47.979141,38.654679,2.995232,0.7621418237686157,,,,,,
1,PNA,1,19,1775529040.3736067,95.063427,48.001801,39.27681,2.931181,0.7932610511779785,28.0,53.4,21422.17578125,28.0,98.5,21410.23828125
1,PNA,1,20,1775529040.5293975,88.735738,48.213365,35.933703,2.933121,0.8094473481178284,,,,,,
1,PNA,2,21,1775529041.0493627,93.655303,48.141755,38.876724,2.810129,0.8363335132598877,0.0,75.3,21410.48046875,0.0,126.2,21386.85546875
1,PNA,2,22,1775529041.2691789,92.468242,47.972591,39.116048,3.213796,0.8006950616836548,,,,,,
1,PNA,2,23,1775529041.4881666,93.428789,47.965462,38.931025,2.839729,0.802514910697937,33.0,50.2,21405.0703125,33.0,100.6,21405.01171875
1,PNA,2,24,1775529041.7055664,91.469016,47.744328,38.753361,2.994182,0.8406444787979126,,,,,,
1,PNA,2,25,1775529041.9232693,92.92215,47.829999,38.595589,2.841909,0.8432232737541199,25.0,50.5,21401.98828125,24.0,101.6,21401.98828125
1,PNA,2,26,1775529042.1396103,91.719229,47.957091,38.738371,3.003862,0.7942253947257996,,,,,,
1,PNA,2,27,1775529042.3581161,93.47888,48.014222,38.710121,2.861139,0.7999247312545776,28.0,53.1,21401.859375,28.0,76.0,21401.80078125
1,PNA,2,28,1775529042.576436,93.882347,50.082278,38.778231,3.058022,0.7718257308006287,,,,,,
1,PNA,2,29,1775529042.796746,94.68233,47.776827,38.927074,2.982512,0.7986944913864136,32.0,55.3,21403.640625,32.0,99.8,21403.58203125
1,PNA,2,30,1775529043.0147936,91.76608,47.835758,38.961045,2.966941,0.7900514006614685,,,,,,
1,PNA,2,31,1775529043.2361152,94.421226,47.623126,38.805383,3.027802,0.7950637340545654,33.0,50.1,21403.76171875,33.0,99.9,21404.75
1,PNA,2,32,1775529043.4528525,91.74634,47.702657,38.888974,3.146645,0.775206446647644,,,,,,
1,PNA,2,33,1775529043.6726453,94.973835,48.342337,39.19482,2.8849,0.7800006866455078,33.0,50.4,21405.16796875,33.0,99.3,21405.1328125
1,PNA,2,34,1775529043.8897185,91.502085,47.538644,38.738581,3.218555,0.7341569662094116,,,,,,
1,PNA,2,35,1775529044.1110835,94.929055,48.42369,39.048746,2.85743,0.8382801413536072,32.0,52.7,21404.74609375,23.0,99.6,21404.74609375
1,PNA,2,36,1775529044.334296,97.406698,47.872579,44.079583,3.402158,0.7993922829627991,,,,,,
1,PNA,2,37,1775529044.5540729,94.036319,47.736688,38.852023,2.858149,0.8048075437545776,26.0,52.1,21404.8828125,26.0,75.1,21404.8828125
1,PNA,2,38,1775529044.7747521,94.379175,48.062053,40.591233,3.48127,0.7525371313095093,,,,,,
1,PNA,2,39,1775529044.99381,94.121761,47.90183,38.958165,2.83357,0.775933563709259,32.0,52.5,21405.0703125,32.0,125.0,21404.7421875
1,PNA,2,40,1775529045.1521845,88.270759,47.805858,35.724769,3.154054,0.8001445531845093,,,,,,
