run_num,project_name,epoch,step_idx,timestamp_s,step_ms,forward_ms,backward_ms,optimizer_ms,loss,gpu_util,cpu_util,ram_used_mb,sampled_phase
1,PNA,1,1,1775436580.5464187,109.898744,48.607986,56.949266,3.626701,0.8323585987091064,0.0,0.5,19374.15625,forward
1,PNA,1,2,1775436580.7206144,110.952453,47.382516,57.998424,3.419397,0.8053216934204102,22.0,0.5,19373.7109375,backward
1,PNA,1,3,1775436580.8941047,109.643661,46.980249,56.770564,3.645371,0.8419721126556396,,,,
1,PNA,1,4,1775436581.0690148,111.127875,48.533795,56.677781,3.649271,0.7746293544769287,24.0,0.4,19373.7109375,forward
1,PNA,1,5,1775436581.2434063,111.439341,47.59449,58.142376,3.431917,0.7869218587875366,25.0,0.4,19373.7109375,backward
1,PNA,1,6,1775436581.4159474,110.210531,47.121511,57.159751,3.662771,0.7737770080566406,,,,
1,PNA,1,7,1775436581.5919597,111.98993,48.88734,56.855895,3.901075,0.7709317207336426,22.0,0.4,19373.76953125,forward
1,PNA,1,8,1775436581.7673688,111.474372,47.404277,58.346319,3.434508,0.7675110697746277,20.0,0.5,19373.7109375,backward
1,PNA,1,9,1775436581.940542,110.089739,47.171402,56.972597,3.654182,0.8237259387969971,,,,
1,PNA,1,10,1775436582.118756,115.416337,52.328898,56.972947,3.726722,0.8445708751678467,22.0,0.4,19373.7109375,forward
1,PNA,1,11,1775436582.2942662,111.004863,47.510408,57.75828,3.426507,0.7809146642684937,24.0,0.4,19373.8984375,backward
1,PNA,1,12,1775436582.4684691,110.077598,47.385495,56.769614,3.666842,0.794926643371582,,,,
1,PNA,1,13,1775436582.6435344,111.898249,48.580255,57.210591,3.652631,0.7903122305870056,24.0,0.5,19373.4609375,forward
1,PNA,1,14,1775436582.8180947,111.032154,47.256143,57.921162,3.454378,0.7430738210678101,25.0,0.5,19373.4609375,backward
1,PNA,1,15,1775436582.9925659,110.658099,47.309234,57.14978,3.640561,0.7900111675262451,,,,
